Object,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,E-MaStar,E-MaStar,Conroy,Conroy
,MPL7,MPL7,MPL9,MPL9,MPL11,MPL11,,,,
,Age (Gyr),[Z/H],Age (Gyr),[Z/H],Age (Gyr),[Z/H],Age (Gyr),[Z/H],Age (Gyr),[Z/H]
NGC0104(2015-01-30),5.2 $\pm$ 0.25,-0.762 $\pm$ 0.036,6.0 $\pm$ 2.82,-1.01 $\pm$ 0.188,8.99 $\pm$ 0,-1.01 $\pm$ 0,3.0 $\pm$ 0.26,-0.974 $\pm$ 0.66,12.0 $\pm$ 0,-0.677 $\pm$ 0
NGC0121(2015-08-11),13.0 $\pm$ 0,-1.33 $\pm$ 0,9.3 $\pm$ 0,-1.5 $\pm$ 0,8.78 $\pm$ 0,-1.33 $\pm$ 0,12.9 $\pm$ 0,-1.62 $\pm$ 0,8.98 $\pm$ 0,-0.759 $\pm$ 0
NGC0330(2015-11-02),0.982 $\pm$ 0,-1.77 $\pm$ 0,0.0248 $\pm$ 0,-0.709 $\pm$ 0,0.285 $\pm$ 0,-0.974 $\pm$ 0,0.982 $\pm$ 0,-1.01 $\pm$ 0,2.06 $\pm$ 0.76,-1.3 $\pm$ 0
NGC0361(2015-11-02),8.72 $\pm$ 4.28,-0.844 $\pm$ 0.182,13.0 $\pm$ 0,-1.77 $\pm$ 0,9.51 $\pm$ 3.39,-1.5 $\pm$ 0.23,9.71 $\pm$ 3.09,-1.01 $\pm$ 0.301,13.0 $\pm$ 0,-1.4 $\pm$ 0
NGC0362(2015-01-30),9.84 $\pm$ 0.96,-1.33 $\pm$ 0.356,10.8 $\pm$ 2.1,-1.62 $\pm$ 0.35,8.99 $\pm$ 0,-1.33 $\pm$ 0,12.5 $\pm$ 0,-1.01 $\pm$ 0.065,9.26 $\pm$ 0,-1.22 $\pm$ 0.227
NGC0416(2015-08-08),12.7 $\pm$ 0,-1.21 $\pm$ 0,10.6 $\pm$ 0,-1.41 $\pm$ 0.08,6.87 $\pm$ 0,-1.77 $\pm$ 0,8.72 $\pm$ 0,-1.77 $\pm$ 0.56,10.3 $\pm$ 0,-1.26 $\pm$ 0
NGC0419(2015-12-18),0.595 $\pm$ 0.985,-0.974 $\pm$ 0.451,0.631 $\pm$ 3.03,-0.945 $\pm$ 0.236,0.588 $\pm$ 0,-0.709 $\pm$ 0.389,0.724 $\pm$ 0,-0.0445 $\pm$ 0,5.5 $\pm$ 0,-0.557 $\pm$ 0
NGC1261(2015-08-08),7.73 $\pm$ 1.12,-1.77 $\pm$ 0.15,8.99 $\pm$ 0,-1.77 $\pm$ 0,8.08 $\pm$ 0,-1.77 $\pm$ 0,7.9 $\pm$ 0,-1.77 $\pm$ 0,12.5 $\pm$ 0,-1.09 $\pm$ 0.463
NGC1783(2016-04-02),0.724 $\pm$ 0,-0.378 $\pm$ 0.023,1.97 $\pm$ 0,-0.974 $\pm$ 0,0.718 $\pm$ 0,-0.945 $\pm$ 0,0.853 $\pm$ 0,-0.917 $\pm$ 0.24,2.5 $\pm$ 0,-0.582 $\pm$ 0
NGC1786(2016-10-03),7.09 $\pm$ 0,-2.03 $\pm$ 0,7.0 $\pm$ 0,-2.03 $\pm$ 0,7.0 $\pm$ 0,-2.03 $\pm$ 0,6.66 $\pm$ 0,-2.03 $\pm$ 0,6.14 $\pm$ 0,0.199 $\pm$ 0
NGC1846(2016-04-02),1.41 $\pm$ 0.43,-0.662 $\pm$ 0.16,3.53 $\pm$ 1.69,-1.01 $\pm$ 0.377,0.978 $\pm$ 0.912,-0.693 $\pm$ 0.43,2.01 $\pm$ 2.67,-0.402 $\pm$ 0,2.98 $\pm$ 0.12,-0.503 $\pm$ 0.014
NGC1850(2016-04-01),0.165 $\pm$ 0,0.171 $\pm$ 0,8.39 $\pm$ 1.91,-1.5 $\pm$ 0.555,0.0248 $\pm$ 0,-0.0201 $\pm$ 0,0.294 $\pm$ 0.129,-0.0445 $\pm$ 0,2.02 $\pm$ 0,-0.582 $\pm$ 0
NGC1851(2015-01-31),10.7 $\pm$ 2.3,-1.33 $\pm$ 0.32,8.69 $\pm$ 0,-1.21 $\pm$ 0,8.3 $\pm$ 0,-0.709 $\pm$ 0,6.83 $\pm$ 4.87,-1.33 $\pm$ 0.32,10.6 $\pm$ 0,-1.22 $\pm$ 0
NGC1856(2016-04-02),0.165 $\pm$ 0,-0.427 $\pm$ 0,0.198 $\pm$ 0,-0.693 $\pm$ 0,0.458 $\pm$ 0,-0.182 $\pm$ 0,0.251 $\pm$ 0,-0.269 $\pm$ 0,13.0 $\pm$ 0,-0.582 $\pm$ 0
NGC1866(2016-04-02),0.251 $\pm$ 0,-0.801 $\pm$ 0.347,0.285 $\pm$ 0,-0.62 $\pm$ 0,0.198 $\pm$ 0,0.0125 $\pm$ 0,4.46 $\pm$ 1.9,-0.149 $\pm$ 0,13.0 $\pm$ 0,-0.734 $\pm$ 0
NGC1868(2016-10-03),0.81 $\pm$ 0,-1.01 $\pm$ 0,0.588 $\pm$ 0,-1.27 $\pm$ 0,0.588 $\pm$ 0,-0.633 $\pm$ 0,0.767 $\pm$ 0,-0.917 $\pm$ 0,7.26 $\pm$ 0,-0.667 $\pm$ 0
NGC1898(2016-10-03),11.9 $\pm$ 0,-0.781 $\pm$ 0.119,3.88 $\pm$ 7.02,-1.33 $\pm$ 0,3.92 $\pm$ 0.05,-1.08 $\pm$ 0,13.0 $\pm$ 0,-1.77 $\pm$ 0.27,10.5 $\pm$ 0,-1.3 $\pm$ 0
NGC1904(2015-01-30),10.2 $\pm$ 0,-2.03 $\pm$ 0,8.99 $\pm$ 0.35,-2.03 $\pm$ 0,12.6 $\pm$ 0,-1.27 $\pm$ 0,10.0 $\pm$ 1.0,-1.21 $\pm$ 0.05,8.86 $\pm$ 0,-1.4 $\pm$ 0
NGC1916(2015-12-18),0.982 $\pm$ 0.948,-1.62 $\pm$ 0.58,0.501 $\pm$ 0,-1.16 $\pm$ 0,1.58 $\pm$ 0,-1.77 $\pm$ 0,1.67 $\pm$ 0,-1.04 $\pm$ 0,5.54 $\pm$ 0,-1.3 $\pm$ 0
NGC1978(2016-10-03),2.01 $\pm$ 2.93,-0.647 $\pm$ 0.145,3.19 $\pm$ 0.73,-1.01 $\pm$ 0.093,2.88 $\pm$ 0,-0.781 $\pm$ 0.088,2.66 $\pm$ 0.26,-0.781 $\pm$ 0.104,4.78 $\pm$ 0,-0.582 $\pm$ 0
NGC2004(2016-09-30),3.73 $\pm$ 0,-0.159 $\pm$ 0,0.198 $\pm$ 0,-1.33 $\pm$ 0,0.198 $\pm$ 0,-1.27 $\pm$ 0,0.294 $\pm$ 0,-1.21 $\pm$ 0,12.9 $\pm$ 0,-0.469 $\pm$ 0.05
NGC2019(2016-09-30),12.6 $\pm$ 0.1,-1.77 $\pm$ 0,5.74 $\pm$ 0.78,-1.77 $\pm$ 0.15,8.6 $\pm$ 3.1,-1.62 $\pm$ 0,9.97 $\pm$ 1.03,-2.03 $\pm$ 0.53,7.9 $\pm$ 0,-1.4 $\pm$ 0
NGC2100(2015-12-17),9.07 $\pm$ 0,-0.145 $\pm$ 0.118,0.0248 $\pm$ 0,0.184 $\pm$ 0,0.0248 $\pm$ 0.26,0.153 $\pm$ 0.025,0.853 $\pm$ 0.727,-1.41 $\pm$ 0,1.02 $\pm$ 5.12,-1.04 $\pm$ 0.145
NGC2136(2016-10-03),0.122 $\pm$ 0,-0.288 $\pm$ 0,0.198 $\pm$ 0,-0.762 $\pm$ 0,0.978 $\pm$ 0,-1.5 $\pm$ 0,0.982 $\pm$ 0,-0.348 $\pm$ 0.212,2.42 $\pm$ 0,-0.993 $\pm$ 0
NGC2808(2015-01-31),6.01 $\pm$ 0.78,-0.917 $\pm$ 0,8.99 $\pm$ 0,-1.77 $\pm$ 0,7.13 $\pm$ 0,-1.01 $\pm$ 0,12.0 $\pm$ 0,-0.781 $\pm$ 0.119,7.1 $\pm$ 0,-0.993 $\pm$ 0
NGC3201(2015-04-15),12.8 $\pm$ 0,-1.77 $\pm$ 0.15,6.74 $\pm$ 0,-1.77 $\pm$ 0,8.99 $\pm$ 0.48,-1.62 $\pm$ 0.12,7.73 $\pm$ 4.77,-1.77 $\pm$ 0,6.78 $\pm$ 0,-1.3 $\pm$ 0
NGC4147(2015-01-30),4.94 $\pm$ 0,-1.77 $\pm$ 0,4.96 $\pm$ 0,-2.03 $\pm$ 0,4.96 $\pm$ 0.52,-2.03 $\pm$ 0,1.93 $\pm$ 0,-1.5 $\pm$ 0.34,4.18 $\pm$ 0,0.199 $\pm$ 0
NGC4590(2015-04-13),5.93 $\pm$ 0.04,-2.03 $\pm$ 0,5.01 $\pm$ 0,-2.03 $\pm$ 0,7.0 $\pm$ 0,-2.03 $\pm$ 0,1.93 $\pm$ 0,-2.03 $\pm$ 0,2.98 $\pm$ 0,-1.47 $\pm$ 0
NGC4833(2015-01-30),4.94 $\pm$ 0,-1.77 $\pm$ 0,4.4 $\pm$ 0,-1.77 $\pm$ 0,4.01 $\pm$ 0,-1.77 $\pm$ 0,1.93 $\pm$ 0,-2.03 $\pm$ 0,3.62 $\pm$ 0,-1.4 $\pm$ 0
NGC5024(2015-01-30),7.78 $\pm$ 0,-2.03 $\pm$ 0,8.86 $\pm$ 0,-2.03 $\pm$ 0,8.08 $\pm$ 0,-2.03 $\pm$ 0,11.2 $\pm$ 0,-2.03 $\pm$ 0.87,6.86 $\pm$ 0,-1.47 $\pm$ 0
NGC5139(2015-04-13),9.75 $\pm$ 3.05,-2.03 $\pm$ 1.14,13.0 $\pm$ 0,-2.03 $\pm$ 0,8.13 $\pm$ 0,-2.03 $\pm$ 0,7.17 $\pm$ 0.65,-1.62 $\pm$ 0.12,10.8 $\pm$ 0,-1.22 $\pm$ 0
NGC5272(2016-04-02),7.9 $\pm$ 0,-1.77 $\pm$ 0.5,9.99 $\pm$ 0,-2.03 $\pm$ 0.41,8.69 $\pm$ 0,-1.77 $\pm$ 0,5.8 $\pm$ 0,-1.77 $\pm$ 0,12.7 $\pm$ 0,-1.3 $\pm$ 0
NGC5286(2015-04-14),7.13 $\pm$ 0,-1.77 $\pm$ 0.5,8.99 $\pm$ 3.81,-2.03 $\pm$ 0.41,6.78 $\pm$ 0.22,-1.77 $\pm$ 0,6.01 $\pm$ 0.95,-2.03 $\pm$ 0.41,6.14 $\pm$ 0,-0.573 $\pm$ 0
NGC5634(2015-08-10),8.68 $\pm$ 0,-2.03 $\pm$ 0,8.99 $\pm$ 0,-2.03 $\pm$ 0,6.83 $\pm$ 0,-1.77 $\pm$ 0,5.11 $\pm$ 0,-2.03 $\pm$ 0,6.86 $\pm$ 0,-1.47 $\pm$ 0
NGC5694(2015-08-11),8.98 $\pm$ 0,-2.03 $\pm$ 0,8.99 $\pm$ 0,-2.03 $\pm$ 0,7.52 $\pm$ 0.26,-2.03 $\pm$ 0,4.89 $\pm$ 0,-2.03 $\pm$ 0,1.38 $\pm$ 0,-0.582 $\pm$ 0
NGC5824(2016-04-01),6.83 $\pm$ 0.09,-1.77 $\pm$ 0,8.73 $\pm$ 0,-2.03 $\pm$ 0,8.99 $\pm$ 0,-2.03 $\pm$ 0,10.9 $\pm$ 0.2,-2.03 $\pm$ 0,2.18 $\pm$ 0,-1.19 $\pm$ 0
NGC5904(2015-04-15),7.0 $\pm$ 0,-1.41 $\pm$ 0.14,8.99 $\pm$ 0,-1.77 $\pm$ 0,8.86 $\pm$ 0,-1.77 $\pm$ 0,3.91 $\pm$ 0,-0.867 $\pm$ 0,8.82 $\pm$ 1.68,-1.4 $\pm$ 0
NGC5927(2015-01-31),0.853 $\pm$ 0,-0.314 $\pm$ 0.039,0.0248 $\pm$ 8.06,0.144 $\pm$ 0.185,11.9 $\pm$ 1.0,0.348 $\pm$ 0,6.01 $\pm$ 0.73,-0.178 $\pm$ 0.161,8.9 $\pm$ 0,-0.00346 $\pm$ 0
NGC5986(2015-07-10),11.6 $\pm$ 1.1,-1.77 $\pm$ 0,8.99 $\pm$ 0,-2.03 $\pm$ 0,7.04 $\pm$ 0,-1.77 $\pm$ 0,7.09 $\pm$ 2.71,-2.03 $\pm$ 0,8.98 $\pm$ 0,-1.4 $\pm$ 0
NGC6093(2015-04-14),6.66 $\pm$ 1.29,-1.77 $\pm$ 0.27,9.3 $\pm$ 0,-1.41 $\pm$ 0,8.0 $\pm$ 0,-2.03 $\pm$ 0,5.8 $\pm$ 0,-1.33 $\pm$ 0,5.58 $\pm$ 0,-1.26 $\pm$ 0
NGC6121(2015-04-15),6.92 $\pm$ 0.08,-1.77 $\pm$ 0,9.43 $\pm$ 0,-1.77 $\pm$ 0,6.0 $\pm$ 0,-1.77 $\pm$ 0,3.56 $\pm$ 2.8,-1.33 $\pm$ 0,6.1 $\pm$ 0,-1.22 $\pm$ 0
NGC6139(2015-08-11),9.93 $\pm$ 0.17,-1.27 $\pm$ 0.19,0.501 $\pm$ 0,-0.677 $\pm$ 0,8.99 $\pm$ 0,-1.77 $\pm$ 0,9.75 $\pm$ 0,-1.21 $\pm$ 0.05,12.8 $\pm$ 0,-1.47 $\pm$ 0
NGC6171(2015-07-09),11.5 $\pm$ 0,-0.917 $\pm$ 0.05,8.95 $\pm$ 0,-1.33 $\pm$ 0,2.93 $\pm$ 0.17,-0.726 $\pm$ 0,3.91 $\pm$ 0,-0.709 $\pm$ 0,9.98 $\pm$ 0,-0.861 $\pm$ 0
NGC6218(2015-07-09),5.54 $\pm$ 0.26,-1.33 $\pm$ 0,8.86 $\pm$ 0,-1.33 $\pm$ 0,8.78 $\pm$ 4.02,-1.12 $\pm$ 0,9.75 $\pm$ 3.05,-1.62 $\pm$ 0.29,12.5 $\pm$ 0,-1.09 $\pm$ 0.097
NGC6254(2015-04-13),5.88 $\pm$ 2.76,-1.77 $\pm$ 0,9.3 $\pm$ 0,-1.12 $\pm$ 0.298,11.5 $\pm$ 0,-1.41 $\pm$ 0,10.9 $\pm$ 2.0,-2.03 $\pm$ 1.46,6.98 $\pm$ 0.24,-1.12 $\pm$ 0.05
NGC6266(2015-08-09),3.35 $\pm$ 1.59,-0.801 $\pm$ 0.058,4.88 $\pm$ 4.11,-1.01 $\pm$ 0,8.86 $\pm$ 0,-1.33 $\pm$ 0,5.45 $\pm$ 1.68,-1.16 $\pm$ 0,6.98 $\pm$ 0,-0.993 $\pm$ 0
NGC6273(2015-08-10),10.8 $\pm$ 2.0,-2.03 $\pm$ 0,7.39 $\pm$ 0,-1.62 $\pm$ 0,12.7 $\pm$ 0,-1.21 $\pm$ 0,8.68 $\pm$ 3.02,-1.77 $\pm$ 0.56,10.1 $\pm$ 0,-1.4 $\pm$ 0
NGC6284(2016-09-29),12.8 $\pm$ 0,-1.41 $\pm$ 0.08,8.99 $\pm$ 0,-1.77 $\pm$ 0,8.99 $\pm$ 0,-1.33 $\pm$ 0,6.7 $\pm$ 0.65,-1.27 $\pm$ 0.23,5.66 $\pm$ 0,-1.12 $\pm$ 0
NGC6293(2015-08-11),6.06 $\pm$ 0.12,-1.77 $\pm$ 0.27,6.09 $\pm$ 0,-2.03 $\pm$ 0,5.74 $\pm$ 0,-2.03 $\pm$ 0,1.93 $\pm$ 0,-1.77 $\pm$ 0,1.06 $\pm$ 0.8,-1.47 $\pm$ 0.21
NGC6304(2015-04-14),3.82 $\pm$ 0,-0.218 $\pm$ 0,2.97 $\pm$ 0,-0.693 $\pm$ 0,12.8 $\pm$ 0,-0.693 $\pm$ 0.436,4.77 $\pm$ 0,-0.546 $\pm$ 0.212,9.18 $\pm$ 0.24,-0.525 $\pm$ 0
NGC6304(2015-08-08),3.82 $\pm$ 3.35,-0.0938 $\pm$ 0,0.891 $\pm$ 0,-0.677 $\pm$ 0,13.0 $\pm$ 0,-0.974 $\pm$ 0,2.87 $\pm$ 0.09,-0.557 $\pm$ 0.455,6.98 $\pm$ 0,-0.31 $\pm$ 0
NGC6316(2016-04-02),12.4 $\pm$ 0.1,-0.633 $\pm$ 0.099,0.891 $\pm$ 0,-0.677 $\pm$ 0,5.01 $\pm$ 0,-0.974 $\pm$ 0,7.86 $\pm$ 0.6,-0.726 $\pm$ 0.093,5.94 $\pm$ 0,-0.503 $\pm$ 0
NGC6333(2016-04-02),7.86 $\pm$ 0,-2.03 $\pm$ 0,8.99 $\pm$ 0,-2.03 $\pm$ 0,12.1 $\pm$ 0,-2.03 $\pm$ 0,5.8 $\pm$ 0,-1.5 $\pm$ 0,6.86 $\pm$ 0,-1.47 $\pm$ 0
NGC6342(2015-08-10),8.85 $\pm$ 0.65,-0.945 $\pm$ 0.078,2.32 $\pm$ 2.21,-0.822 $\pm$ 0.113,10.8 $\pm$ 0,-1.01 $\pm$ 0,5.15 $\pm$ 1.38,-0.334 $\pm$ 0.11,10.8 $\pm$ 0,-0.688 $\pm$ 0
NGC6352(2015-07-09),12.7 $\pm$ 0,-0.307 $\pm$ 0,3.92 $\pm$ 4.08,-0.693 $\pm$ 0.1,10.2 $\pm$ 2.8,-0.534 $\pm$ 0,10.0 $\pm$ 0.5,-0.463 $\pm$ 0,7.02 $\pm$ 0.12,-0.469 $\pm$ 0.013
NGC6356(2016-04-01),3.43 $\pm$ 0.17,-0.513 $\pm$ 0.31,0.891 $\pm$ 0,-0.709 $\pm$ 0,3.97 $\pm$ 0.65,-0.677 $\pm$ 0.66,3.0 $\pm$ 0,-0.363 $\pm$ 0,4.98 $\pm$ 0.2,-0.503 $\pm$ 0.014
NGC6362(2015-08-11),10.3 $\pm$ 0,-1.08 $\pm$ 0,2.02 $\pm$ 0,-0.693 $\pm$ 0,3.01 $\pm$ 0.57,-0.693 $\pm$ 0,6.87 $\pm$ 0,-1.01 $\pm$ 0.143,12.9 $\pm$ 0,-0.503 $\pm$ 0
NGC6388(2015-04-13),1.41 $\pm$ 0,-0.149 $\pm$ 0,0.805 $\pm$ 0,-0.677 $\pm$ 0,0.891 $\pm$ 0,-0.307 $\pm$ 0,9.24 $\pm$ 0.86,-0.633 $\pm$ 0.099,7.86 $\pm$ 0.92,-0.503 $\pm$ 0
NGC6397(2015-04-13),2.44 $\pm$ 0,-1.77 $\pm$ 0,2.02 $\pm$ 0,-2.03 $\pm$ 0,3.1 $\pm$ 0,-2.03 $\pm$ 0,0.982 $\pm$ 0,-2.03 $\pm$ 0,5.22 $\pm$ 0,-1.22 $\pm$ 0
NGC6440(2016-10-03),12.8 $\pm$ 0,-0.341 $\pm$ 0.318,5.01 $\pm$ 0,-0.000281 $\pm$ 0,12.6 $\pm$ 0,-0.581 $\pm$ 0.324,10.8 $\pm$ 0.3,-0.348 $\pm$ 0.021,6.74 $\pm$ 0.36,-0.443 $\pm$ 0
NGC6441(2015-04-15),0.81 $\pm$ 0,-0.078 $\pm$ 0,10.9 $\pm$ 0,-0.709 $\pm$ 0,0.891 $\pm$ 0,-0.662 $\pm$ 0,0.896 $\pm$ 0.434,0.00294 $\pm$ 0.0032,8.9 $\pm$ 0,-0.503 $\pm$ 0
NGC6522(2016-04-02),7.04 $\pm$ 0,-1.21 $\pm$ 0,9.17 $\pm$ 0,-1.04 $\pm$ 0.196,5.01 $\pm$ 0,-1.33 $\pm$ 0,7.78 $\pm$ 0,-1.08 $\pm$ 0,10.3 $\pm$ 0,-1.26 $\pm$ 0
NGC6528(2015-04-13),6.06 $\pm$ 0,0.108 $\pm$ 0.109,6.0 $\pm$ 0,-0.000281 $\pm$ 0,13.0 $\pm$ 0,-0.327 $\pm$ 0,8.51 $\pm$ 0,0.00932 $\pm$ 0,4.94 $\pm$ 0,-0.00573 $\pm$ 0
NGC6541(2015-04-14),5.11 $\pm$ 1.76,-1.77 $\pm$ 0,10.6 $\pm$ 0,-1.62 $\pm$ 0,7.22 $\pm$ 0.04,-2.03 $\pm$ 0,10.0 $\pm$ 0.1,-1.41 $\pm$ 0.08,6.86 $\pm$ 0,-1.47 $\pm$ 0
NGC6553(2015-04-15),6.36 $\pm$ 4.34,0.318 $\pm$ 0.011,8.0 $\pm$ 0,0.201 $\pm$ 0,8.99 $\pm$ 0,0.201 $\pm$ 0,5.84 $\pm$ 1.2,0.0187 $\pm$ 0,6.94 $\pm$ 0,-0.00573 $\pm$ 0
NGC6569(2015-08-10),9.88 $\pm$ 0.42,-1.04 $\pm$ 0.066,5.01 $\pm$ 0,-1.01 $\pm$ 0.363,8.0 $\pm$ 2.1,-1.01 $\pm$ 0,2.92 $\pm$ 0,-0.726 $\pm$ 0.017,11.0 $\pm$ 0.4,-0.476 $\pm$ 0.045
NGC6584(2015-08-08),12.8 $\pm$ 0,-2.03 $\pm$ 0.26,11.0 $\pm$ 0,-2.03 $\pm$ 0,8.73 $\pm$ 0.09,-2.03 $\pm$ 0,6.83 $\pm$ 2.06,-1.62 $\pm$ 0.35,12.9 $\pm$ 0,-1.47 $\pm$ 0
NGC6624(2015-07-09),11.8 $\pm$ 1.0,-0.726 $\pm$ 0,2.97 $\pm$ 0,-0.677 $\pm$ 0,2.97 $\pm$ 0,-0.693 $\pm$ 0,3.99 $\pm$ 0,-0.32 $\pm$ 0.038,4.98 $\pm$ 0,-0.503 $\pm$ 0
NGC6637(2015-07-09),7.69 $\pm$ 5.31,-0.677 $\pm$ 0.096,2.93 $\pm$ 0,-0.693 $\pm$ 0,6.0 $\pm$ 0,-0.693 $\pm$ 0,8.81 $\pm$ 0.43,-0.726 $\pm$ 0,6.9 $\pm$ 0,-0.503 $\pm$ 0
NGC6652(2015-08-08),7.86 $\pm$ 0.04,-0.974 $\pm$ 0.083,7.78 $\pm$ 0,-0.801 $\pm$ 0,9.43 $\pm$ 0,-1.04 $\pm$ 0,8.81 $\pm$ 0.17,-1.01 $\pm$ 0,10.5 $\pm$ 0,-0.711 $\pm$ 0
NGC6656(2015-07-09),10.3 $\pm$ 0.7,-1.62 $\pm$ 0,8.91 $\pm$ 0.52,-1.62 $\pm$ 0.12,7.65 $\pm$ 2.95,-1.77 $\pm$ 0.56,11.7 $\pm$ 0.1,-1.41 $\pm$ 0,10.7 $\pm$ 0,-1.4 $\pm$ 0
NGC6681(2015-08-10),7.73 $\pm$ 2.57,-1.16 $\pm$ 0,8.69 $\pm$ 0,-2.03 $\pm$ 1.02,8.99 $\pm$ 0,-2.03 $\pm$ 0,3.95 $\pm$ 0,-1.5 $\pm$ 0.17,8.82 $\pm$ 0,-1.4 $\pm$ 0
NGC6715(2015-07-09),2.92 $\pm$ 0.99,-1.01 $\pm$ 0.453,8.0 $\pm$ 0,-1.77 $\pm$ 0,4.7 $\pm$ 0,-1.08 $\pm$ 0,3.99 $\pm$ 0.04,-0.945 $\pm$ 0,5.5 $\pm$ 0,-1.04 $\pm$ 0.163
NGC6717(2016-04-01),5.11 $\pm$ 3.65,-1.04 $\pm$ 0.297,5.01 $\pm$ 0,-1.01 $\pm$ 0.143,3.01 $\pm$ 0,-0.378 $\pm$ 0,3.99 $\pm$ 2.28,-0.32 $\pm$ 0,4.9 $\pm$ 0,-0.511 $\pm$ 0
NGC6723(2016-09-29),7.99 $\pm$ 0,-0.891 $\pm$ 0,7.65 $\pm$ 1.95,-1.01 $\pm$ 0.119,8.08 $\pm$ 0,-1.01 $\pm$ 0,7.9 $\pm$ 0.13,-0.974 $\pm$ 0.083,8.78 $\pm$ 0,-0.993 $\pm$ 0
NGC6752(2015-04-14),10.2 $\pm$ 0.2,-2.03 $\pm$ 0.87,8.78 $\pm$ 0.6,-1.62 $\pm$ 0.29,8.0 $\pm$ 0.13,-1.77 $\pm$ 0,12.6 $\pm$ 0,-2.03 $\pm$ 1.02,8.98 $\pm$ 0.04,-1.47 $\pm$ 0
NGC6809(2015-08-09),5.97 $\pm$ 0.17,-2.03 $\pm$ 0.53,3.01 $\pm$ 0,-1.12 $\pm$ 0,0.0248 $\pm$ 0,-0.726 $\pm$ 0.169,2.92 $\pm$ 0,-2.03 $\pm$ 0,1.1 $\pm$ 0.08,-1.47 $\pm$ 0.21
NGC6838(2015-08-08),11.9 $\pm$ 0.2,-1.04 $\pm$ 0,2.36 $\pm$ 0.09,-1.01 $\pm$ 0.119,3.92 $\pm$ 0,-1.01 $\pm$ 0,10.4 $\pm$ 0,-0.891 $\pm$ 0,8.58 $\pm$ 0.52,-0.677 $\pm$ 0
NGC6864(2015-08-10),4.89 $\pm$ 0.09,-0.709 $\pm$ 0,8.95 $\pm$ 0.09,-1.5 $\pm$ 0.09,8.82 $\pm$ 0.04,-1.08 $\pm$ 0,3.0 $\pm$ 0,-1.04 $\pm$ 0,6.78 $\pm$ 0,-0.951 $\pm$ 0
NGC6934(2015-08-08),5.71 $\pm$ 0.04,-1.77 $\pm$ 0,12.8 $\pm$ 0,-2.03 $\pm$ 0,6.0 $\pm$ 0,-1.77 $\pm$ 0,10.1 $\pm$ 2.5,-2.03 $\pm$ 0,8.86 $\pm$ 0,-1.47 $\pm$ 0
NGC7006(2015-08-09),8.51 $\pm$ 1.24,-2.03 $\pm$ 0.99,8.86 $\pm$ 0,-2.03 $\pm$ 0,8.13 $\pm$ 0,-1.77 $\pm$ 0,7.86 $\pm$ 1.85,-2.03 $\pm$ 0,7.22 $\pm$ 0.64,-1.47 $\pm$ 0.25
NGC7078(2015-07-09),5.93 $\pm$ 0,-2.03 $\pm$ 0,7.0 $\pm$ 0,-2.03 $\pm$ 0,7.0 $\pm$ 0.09,-2.03 $\pm$ 0,3.39 $\pm$ 0.3,-2.03 $\pm$ 0,2.02 $\pm$ 0,-1.35 $\pm$ 0
NGC7089(2015-07-09),8.85 $\pm$ 0,-2.03 $\pm$ 0,8.21 $\pm$ 0.26,-2.03 $\pm$ 0,7.74 $\pm$ 0,-1.77 $\pm$ 0,8.85 $\pm$ 0.69,-2.03 $\pm$ 0,8.86 $\pm$ 0,0.199 $\pm$ 0
NGC7099(2015-07-09),5.54 $\pm$ 0,-1.33 $\pm$ 0,4.01 $\pm$ 0,-2.03 $\pm$ 0,4.01 $\pm$ 0,-2.03 $\pm$ 0,1.58 $\pm$ 0,0.349 $\pm$ 0,1.38 $\pm$ 0,-0.617 $\pm$ 0
NGC7099(2016-09-30),4.94 $\pm$ 0,-2.03 $\pm$ 0,4.01 $\pm$ 0,-2.03 $\pm$ 0,3.01 $\pm$ 0,-2.03 $\pm$ 0,1.58 $\pm$ 0,0.349 $\pm$ 0,4.9 $\pm$ 0,-1.26 $\pm$ 0
NGC7099(2016-10-01),4.94 $\pm$ 0,-2.03 $\pm$ 0,2.02 $\pm$ 0,-2.03 $\pm$ 0,3.97 $\pm$ 0,-1.77 $\pm$ 0,0.982 $\pm$ 0,-2.03 $\pm$ 0,2.86 $\pm$ 0,0.199 $\pm$ 0
